Timestamp,Username,VideoID,Comment,Date
2023-06-05T20:03:48Z,@ThatPixelGuy,ck7r4EQYRvw,Can't say I've had any issues with android auto on wired or with Motorola wireless,2023-06-05T20:03:48Z
2023-05-28T18:24:57Z,@Pete-the-great1964,ck7r4EQYRvw,What button down where twice?,2023-05-28T18:24:57Z
2023-04-20T14:56:11Z,@the4goodwins,ck7r4EQYRvw,Anyone looked at the gouges your boot makes on the top of their mokka rear bumper??,2023-04-20T14:56:11Z
2023-04-07T09:11:41Z,@baltgames1,ck7r4EQYRvw,"Very, very small car!",2023-04-07T09:11:41Z
2023-03-01T12:59:42Z,@craigturner01,ck7r4EQYRvw,I'd like to comment on my experience but nearly a year in and delivery dates come and go. Who knows maybe it'll turn up one day 🤞🏼,2023-03-01T12:59:42Z
2022-12-28T23:32:05Z,@Irishgirl7,ck7r4EQYRvw,There was no need to update the Mokka…well the Mokka X; maybe. But certainly not this Mokka E….I love my Mokka X & wouldn’t change it for the world!,2022-12-28T23:32:05Z
2022-12-12T09:04:45Z,@johne7990,ck7r4EQYRvw,"Who would choose this poor example of an electric car with those range figures. Let alone those access restrictions in the back. Very revealing report & quite damning IMO. My Kia Soul EV is far superior. Driven in either normal or sport mode I am getting 4.3 mpk - plenty of space in the back. Just as good looking. Better styling. No - another example of Vauxhall mediocrity…

Great review. Poor car.",2022-12-12T09:04:45Z
2022-12-08T11:08:19Z,@keithsunley5033,ck7r4EQYRvw,"I have a MOKKA not to happy with it got it in March 2022 it’s now December 2022 full changed (100 %) instead of saying 210 miles it now reads 180 miles 
Service warning light came on at around 10000 miles (2 months ago it stated 100% charge only gives 193 miles got told this is normal) now with less than 14000 miles it’s on again actually came on about 1000 miles ago
I’m over 6 ft getting in and out of the drivers site can be difficult as I have to make sure I park so the door can be opened fully to get my right leg in (I’m in the UK)",2022-12-08T11:08:19Z
2022-11-18T00:04:05Z,@kimbye1,ck7r4EQYRvw,"Had ours for a little over a year, same green colour, great car, but small boot and I wish the backdoors could open a little more. No problem with Android. As with any EV it's a pretty big difference between estimated range and actual range, which I find very irritating. Still hard to beat at that price point. I prefer to drive our Kia Soul, but the wife prefers the Mokka - e",2022-11-18T00:04:05Z
2022-10-29T08:47:58Z,@samcairns2918,ck7r4EQYRvw,I have to say I lost interest in the car and was more smitten with the host lol - in the nicest possible way - great preview,2022-10-29T08:47:58Z
2022-10-28T01:14:59Z,@VirginNephilum,ck7r4EQYRvw,"Motability / we ordered one under Motability scheme 8 months ago, at time of order we were told it would arrive July August. Got an email beginning September 2022 saying maybe October November 2023 next year possible delivery.  Anyone got anything useful to say about this nonsense? I understand about semi conductor shortage and motherboards not being made due to shutdowns of cities (yes now still) in China but not a peep out or ANY or the manufacturers who see e cars. Yes if you buy one on hp or lease you get one.....",2022-10-28T01:14:59Z
2022-10-22T16:16:59Z,@stephengamble2804,ck7r4EQYRvw,"Bought my 'e' almost a year ago and apart from that I love it.....despite the fact that it has spent over a month in the dealership for various issues. The most important of those is the noisy front suspension. knocks rattles and more. Some have been cured or minimised by replacing brake caliper mountings, antiroll bar bushes and at the moment driveshafts! We'll have to see when I get it back. It's a pity that Vauxhalls answer is that they're traits of the car and that because it's electric you'll hear more! At 70mph? Poor excuse for lack of suspension development in my opinion.",2022-10-22T16:16:59Z
2022-10-11T07:42:55Z,@rickidango8969,ck7r4EQYRvw,"I hate the small glovebox and lack of rear interior light. Plus the boot top cover is ignoring because you can't find a space to put it if you want to make the boot bigger. Other than that, I do love this car.",2022-10-11T07:42:55Z
2023-12-19T17:23:04Z,@JanikaKocsis-xb1zb,ck7r4EQYRvw,these problems are in other brands too. in kia niro has smaller glovebox than in mokka. :D,2023-12-19T17:23:04Z
2022-10-07T03:07:42Z,@enfield7123,ck7r4EQYRvw,"I have the ugly old shape  I love the car I don 75000 and not many problems  
So I will keep  it .. I do like the green  mokka  but  only  diesel",2022-10-07T03:07:42Z
2022-08-28T18:52:45Z,@Mac-bs6hf,ck7r4EQYRvw,"Thanks for the feedback 
I had just bought one today and is on order. The ultimate edition 👍",2022-08-28T18:52:45Z
2022-08-25T17:29:09Z,@garydeandeery,ck7r4EQYRvw,Iv just ordered one will be here in 6 months,2022-08-25T17:29:09Z
2022-08-18T21:21:27Z,@DaveABerry,ck7r4EQYRvw,Never had issues with system crashes on mine,2022-08-18T21:21:27Z
2022-08-05T11:31:04Z,@amazingdanndini,ck7r4EQYRvw,"I've had my Mokka-e SRi Nav Premium for almost 6 months now. I'm averaging out 3.9 - 4.0 mi/kWh and frequently travel from Oxford to Southampton & Portsmouth.

Basically, whenever I travel to Portsmouth, I pop the car into Eco mode, just to preserve the range and usually have to give it a little top up at one of three Lidl stores on the way back through. Enough time for a bite to eat. I can do Southampton and back on a single charge with approximately 20% left in the battery.

Motorway efficiency does drop off a cliff, but I find that dropping to either 65mph or 60mph does help - yes it may take an additional 10-20 minutes to arrive, but it's a small trade off.
My biggest gripes are the rear space & boot capacity, being a new father. It's a bit difficult getting the child seat & pushchair in.

Otherwise, in terms of design, I'm not a big lover of the piano black features - an absolute magnet for grubby fingerprints; and the boot button being above the number plate, which is just bonkers to me and only adds to the aforementioned grubby mitts problem.

On the whole, however, it's a great piece of kit and I'm looking forward to see what Vauxhall can do with the rest of the range. I'd recommend the car to anyone looking at EVs at the moment.",2022-08-05T11:31:04Z
2022-08-23T10:37:29Z,@handlesarefeckinstupid,ck7r4EQYRvw,Why dont you use the key fob to open the boot?,2022-08-23T10:37:29Z
2022-08-23T15:18:52Z,@amazingdanndini,ck7r4EQYRvw,"I do, as a rule. However, it's still a poorly thought out design feature. I've also noticed it doesn't seem to open the boot whilst your in the car with the motor on, say when I'm doing my click 'n' collect shop - although, I've not tried to unlock the doors first, so perhaps that will do it.
It's just a gripe with the design, ultimately. Thankfully, the key fob is a workaround.",2022-08-23T15:18:52Z
2022-07-18T12:07:47Z,@ewan5536,ck7r4EQYRvw,Is Nikki pregnant? Who would get that tomboy pregnant!,2022-07-18T12:07:47Z
2022-07-11T09:08:20Z,@cmdrdisulfiram,ck7r4EQYRvw,"I wonder if the infotainment system reliability problem is only with the EV model or the petrol as well? I had reserved one and the dealer just called to let me know it's arriving next week, but if it has this problem I'd rather not get it...",2022-07-11T09:08:20Z
2022-08-18T19:12:39Z,@handlesarefeckinstupid,ck7r4EQYRvw,"Buy a proper cable, most of the time it is a cheap poundland cable that causes a lot of issues.",2022-08-18T19:12:39Z
2022-06-26T07:20:28Z,@the4goodwins,ck7r4EQYRvw,"Well... My car Still isn't here(ordered Jan 17th) so cant really see what your commenting on! Discraceful Vauxhall customer care, vague or none existent updates, but I love your videos been watching them since Dec 2021. Just need the car",2022-06-26T07:20:28Z
2022-06-19T06:25:31Z,@a.m.9357,ck7r4EQYRvw,"I really love that beautiful green colour and the looks of the car. It looks great from all the angles, especially the front. But I would never buy this. It's a GM product, they are of extremely poor quality and very unreliable. Electrical issues will be endless, just like VW cars.",2022-06-19T06:25:31Z
2022-08-23T10:41:42Z,@handlesarefeckinstupid,ck7r4EQYRvw,"Well it's not a GM product, so there is that.",2022-08-23T10:41:42Z
2022-10-11T00:17:21Z,@Djeseret,ck7r4EQYRvw,"It's a Peugeot product, that's why it has the problems and weaknesses it has, these problems would not have existed if it had been an Opel, they have never had problems with the details that are problems with the Mokka.",2022-10-11T00:17:47Z
2022-06-16T15:10:09Z,@gchecosse,ck7r4EQYRvw,"The problem with Android Auto problems is knowing when it's the car, when it's the phone, the cable, the app etc. I've had lots of problems, but almost always the app is at fault.",2022-06-16T15:10:09Z
2022-06-11T13:48:21Z,@richardharrison3099,ck7r4EQYRvw,We have a petrol automatic Mokka. Total agree with the lane control and getting in the rear.  The biggest issue we have is getting into the car. We have keyless entry. We have given up on this as it is too temperamental. The next issue we have is even with the key fob the car refuses to open. We have to revert to opening and closing the boot with keyless entry. Then pressing the key fob the car will open. This fault we have had since new and Vauxhall cannot fix it.,2022-06-11T13:48:21Z
2024-04-08T16:25:50Z,@alannorthdevonuk763,ck7r4EQYRvw,"Interesting, I have a petrol Crossland with the same lane warning system and once I'm doing 37mph plus it beeps whenever it can.",2024-04-08T16:25:50Z
2022-06-09T21:19:14Z,@jamesdobson5225,ck7r4EQYRvw,"2.7k miles and no issues at all with my Mokka e infotainment, actually CarPlay is instant and the infotainment screen is far snappier and more reliable than my new VW California. Lane assist is tedious, so we just turn it off each time we drive. But it is the same issue in our business ID3, except on that you have to go into the stupid touchscreen menus. I believe the lane keep assist is legally fitted to help with NCAP scores.....daft really given how distracting it is....brilliant car to be honest and great value. And the lights....amazing",2022-06-09T21:19:14Z
2022-06-08T17:44:42Z,@StevegamesYT,ck7r4EQYRvw,ive just ordered a new mokka but gotta wait till feb they said to get it :),2022-06-08T17:44:42Z
2022-06-07T13:18:38Z,@whynotstartusingyourbrain8726,ck7r4EQYRvw,The Mokka is one of the worst electric cars out there. I could test drive it for an hour and returned it after 20 minutes. That says it all. No fun to drive at all.,2022-06-07T13:18:38Z
2022-06-06T06:51:13Z,@mondotv4216,ck7r4EQYRvw,"For a small car those miles per kiloWatt hour (not kiloWatt) figures are terrible. Sooner, rather than later, EV consumers are going to realise just how important efficiency is. It affects range, it affects charging times, it affects cost to run and own. The Niro is bigger, better, more powerful, longer range and more efficient. The Model 3 is much bigger and on par with the Niro for efficiency. I look at the Mokka and cannot work out why it is so inefficient?",2022-06-06T06:51:13Z
2022-06-08T11:40:07Z,@lukiejames,ck7r4EQYRvw,"From what I have read and listened to, its efficiency is similar to that of the Hyundai ionic, so it can't be that bad.",2022-06-08T11:40:07Z
2022-06-05T04:01:37Z,@McD3500,ck7r4EQYRvw,I've owned a Kona 64kW for a couple of months now. I think the milage that Kona offers is really value for money. Space at the back seems like the same as Mokka?,2022-06-05T04:01:37Z
2022-06-03T07:11:25Z,@itoonsend,ck7r4EQYRvw,I've done 3000 miles in mine so far. The thing that really gets under my shin is the parcel shelf always comes unclipped and obstructs my rear view mirror view,2022-06-03T07:11:48Z
2022-06-01T13:14:45Z,@guyfleeming1440,ck7r4EQYRvw,"We have a Mokka E and love how it looks and drives.  However two problems that we have noticed with it are 1) It refuses to allow a home smart charger to control the charging.  The car itself has a ""Delay charging"" facility built in which is the only way to control the charging to automatically start after midnight on a cheap tariff.  2) There is no equivalent facility to automatically stop charging before it reaches 100%.  Therefore you either have to physically stop the charging manually or allow it to charge to 100% every time which apparently isn't good for the battery.  Batteries degrade more quickly if they are frequently charged up to 100%,... apparently operating within the 20%-80% state of charge range is more advisable to look after the battery.",2022-06-01T13:14:45Z
2022-11-14T10:17:53Z,@antonissavvidis1534,ck7r4EQYRvw,"That ""Always to 100%"" is a showstopper for me. Thank you for saving me into looking at that car. Kona it is then for me.",2022-11-14T10:17:53Z
2023-01-21T11:54:47Z,@philthompson665,ck7r4EQYRvw,I have had the same issue regarding the charger schedule not charging the car. Its a pain as you say that you cannot end the charging period using the car. You can only start it. I've tried two different chargers to find one that will allow me to schedule a charge but the Mokka E refuses to be charged by either. Vauxhall need to get their act together.,2023-01-21T11:54:47Z
2023-01-21T11:56:37Z,@philthompson665,ck7r4EQYRvw,@@antonissavvidis1534 This is a bit of a play on words. The useable capacity of the Mokka battery (and all other electric vehicles) is less than 100% to prevent you draining it or charging it to max as both are bad for the battery. All EVs have a system in place that protects the EV from over charging and over draining.,2024-06-17T22:23:43Z
2023-01-22T14:21:19Z,@guyfleeming1440,ck7r4EQYRvw,"@@philthompson665 Since buying our Vauxhall Mokka-E a year ago I've been charging it using the ""Deferred Charging Schedule"" facility built into the car, because it appeared that the car stubbornly refused to let our Indra (V4) charger control the charging.  Indeed a response to an email that I sent to Vauxhall querying this issue stated that they could not change or set up their cars to allow smart chargers to control the charging.  However just this last week in discussions with the installers of my Indra (V4) charger, ChargedEV, I have discovered two things.  1) A ""Compatibility Mode"" called ""Relaxed Overcurrent"" can be set on our charger which prevents the car from going completely to sleep when it is plugged in and locked, which basically means that the ""Deferred Charging Schedule"" facility built into the car is not required, and the charging of the car can indeed be controlled by the Indra (V4) smart charger (YIPPEE!!).  2) Recent changes to the software of the charger and the smartphone App for the Indra (V4) smart charger allow for much greater control of the charging, including the ability to STOP charging, and also the ability to LOCK the charger when not in use to prevent electricity theft, which in present times with sky rocketing electricity prices, may become a thing (but hope not).  Hope this helps,... someone  🙂",2023-01-22T14:21:19Z
2023-12-19T17:18:18Z,@JanikaKocsis-xb1zb,ck7r4EQYRvw,i have a wallbox and can control the charging via android app. and can stop the charging the opel app. no need to go for the car to stop charging.,2023-12-19T17:18:18Z
2024-01-16T21:56:56Z,@magneultvedt8420,ck7r4EQYRvw,To be honest charging to 100 % and battery health is overrated. We’ve still driving an e-Golf 2016 and always charged up to 100 %. Even used super charging a lot. After 8 years and over 200 000 km there is not much loss on battery health. Think the battery will live longer than the car 😂,2024-01-16T21:56:56Z
2022-06-01T00:41:21Z,@lloydyboy8829,ck7r4EQYRvw,"We love our Mokka, it suits us perfectly and looks great. Yes the range isn't great (terrible on motorways) but my partner can do his 60 mile round trip commute for 2 days and comfortably have over 25% remaining. It is VERY comfy, VERY quiet and VERY smooth. The elevated driving position is great too. Absolutely no issues with the infortainment and phone connections. The one flaw is the lane assist, as others have said it can be very annoying, it's too strong and forceful when it kicks in and sometimes gets confused with other slight marks in the road. But overall we love it!",2022-06-01T00:41:21Z
2024-07-02T11:36:35Z,@TaipanCARS,ck7r4EQYRvw,"i dont know if its because i drive a BMW M5 competiton but my god the mokka is uncomfortable, the suspension feels like you are driving a bouncy castle",2024-07-02T11:36:35Z
2022-05-31T19:48:34Z,@livepoolfc,ck7r4EQYRvw,Videos like this are good. I do have a mokka e on order. But with high demands and the world low on car parts / chips its going to take 8 to 12 months VAUXHALL are saying lol.,2022-05-31T19:48:34Z
2022-05-29T10:27:30Z,@ukcarver,ck7r4EQYRvw,"Press the button twice mmmm what button. As for the car, we have had one for 9 months and it’s great. Only 140 miles range, I suggest you want to drive the car better. We can do a 20 mile journey and only loose 18 miles of range. But f you drive like a maniac it’s like any other car  what we you expect.",2022-05-29T10:27:30Z
2022-05-28T08:15:02Z,@ingbtc,ck7r4EQYRvw,thanks,2022-05-28T08:15:02Z
2022-05-27T10:47:14Z,@rob_in_stowmarket_uk,ck7r4EQYRvw,"Which button, down where (twice)❓(Oh, and BTW, virtually all EV claimed ranges relate to using the ‘Eco’ mode.)",2022-05-27T10:49:58Z
2022-05-26T14:33:19Z,@edwyncorteen1527,ck7r4EQYRvw,"The rear space issue is caused entirely by being designed to also take a conventional motor resulting in bonnet being too long, reducing interior space, the only fix is a proper EV only design, ID.3 for the win?",2022-05-26T14:33:19Z
2022-08-23T10:40:07Z,@handlesarefeckinstupid,ck7r4EQYRvw,Id3 costs a lot more in the same spec. If you want the long range version it's just under 40 grand...,2022-08-23T10:40:07Z
2022-10-11T00:05:04Z,@Djeseret,ck7r4EQYRvw,"No that's not the reason, it's based on the DS3, not the Peugeot 2008, which means - short wheelbase - the reason is to keep the weight down...to improve the range... more space and size means more weight and therefore worse characteristics.

Then the bodywork is constructed by Peugeot - however not designed, it is two different things - which has not made a spacious car in 30 years, it gives, for example, a very poor opening angle on the rear doors.",2022-10-11T00:07:01Z
