Date,ID,Text
2023-09-18,-GYjfh1gpkM,i think the exterior looks great interior looks horrific and dated imo like an old vcr style or something just looks plasticky and nasty looks several steps backwards from the ioniq 5
2023-09-17,-GYjfh1gpkM,its a kona and a last makes a cup of fresh coffee 
2023-09-17,-GYjfh1gpkM,the old kona was faster i had it for 2 years
2023-09-15,-GYjfh1gpkM,that central dash is horrific looks pre gen imo
2023-09-18,-GYjfh1gpkM,it really does i thought i was the only one that thought so everyone else seems to love it for some reason but its horrific enough to put me off and go with a niro instead even if this has more kit
2023-09-15,-GYjfh1gpkM,the bts book cracked me up 
2023-09-15,-GYjfh1gpkM,this was a french car i think the hybrid one i saw had a black headlining with cheaplooking black cloth upholstery not chic depressingwhy do manufacturers suddenly want uk drivers to drive in the dark renault and now peugeot 3008 please note
2023-09-15,-GYjfh1gpkM,10  80 in 40min is a no buy 
2023-09-15,-GYjfh1gpkM,aahh the old robocop 
2023-09-15,-GYjfh1gpkM,who is going to use these speeds what about safety visibility from a pedestrian aspect value for money
2023-09-15,-GYjfh1gpkM,lol the centre console i like what you did with the book
2023-09-14,-GYjfh1gpkM,front looks ok the back end unfortunately is hideous and not keen on the interior looks cheap the outside lights are awful
2023-09-14,-GYjfh1gpkM,lower it 30mm and id even live with the front charge port maybe
2023-09-14,-GYjfh1gpkM,
2023-09-14,-GYjfh1gpkM,love the buttons on the inside the charge port on the front is a major fail they should hide the charge port
2023-09-14,-GYjfh1gpkM,seems to be priced a bit on the high side for a compact car
2023-09-14,-GYjfh1gpkM,"this question is like is drowning better than hanging

two ghastly milk floats"
2023-09-14,-GYjfh1gpkM,traditional gear shift on the wheel yeah if you still live in the 50s
2023-09-26,-GYjfh1gpkM,yes exactly traditional
2023-09-14,-GYjfh1gpkM,seems like a nice car probably a bit overpriced compare to rivals
2023-09-14,-GYjfh1gpkM,have a car manufacturers stopped making ice cars i know its hard to believe but some of us cant own electric cars i have on street parking so no home charger and very little infrastructure in my town for charging electric cars it would be nice if we were catered for come on what car how about some nonplugin hybrids
2023-09-14,-GYjfh1gpkM,but the front that is so ugly so wired must primaere be made for china they like that robotface
2023-09-14,-GYjfh1gpkM,evsbatteries are too big too heavy too expensive and much of their energy is used lugging them around it appears we are 4 to 5 years away from solid state batteries which just might bring a reduction in weight increased range shorter charging times and maybe cheaper ev prices the sooner the better
2023-09-14,-GYjfh1gpkM,hyundai have a knack for making cars which just look ugly and weird and this car is no exception those rear headlights look bizarre slung low on the sides like some kind of legally mandated afterthought the inconveniently asymmetric front charge port is bizarre the sharp lines combined with bulges looks odd its uncanny how they manage this almost every time the original ioniq and even the ioniq 5 look fugly too i was behind an ioniq 5 the other day and it looks so dated and trying too hard to be futurist and failing for a car which has only been out a couple of years
2023-09-18,-GYjfh1gpkM,i love the ioniq 5 personally but holy cow this is horrific despite having less kit i would get the niro over this simply because of the 90s dash in this monstrosity
2023-09-14,-GYjfh1gpkM,"nice review

any detail on some of the functions that reset on shutting down the v1 car
i have to have a predrive routine of turning on the autohandbrake and turning off the lane departure  they always reset themselves

also any memory seats available now"
2023-09-14,-GYjfh1gpkM,on the highest trim level you get the lounge seats with memory function now
2023-09-14,-GYjfh1gpkM,i like the new presenter model i also think  why go with a niro now
2023-09-14,-GYjfh1gpkM,cos its a better car 
2023-09-17,-GYjfh1gpkM,stepheng8779in what way this charges faster and has better range with pretty much the same passenger and luggage space and heat pump as standard its also going to be more efficient
2023-09-18,-GYjfh1gpkM,because the dash in this is absolutely horrific looks like a 90s dash also the wait times on this are probably going to be far far longer as its brand new some cars are still up to a year wait
2023-09-18,-GYjfh1gpkM,austin2planks interior of kia is way better is in all their cars always has been  is still true today had use of a kona recently whilst my niro was in for an insurance repair they are far from the same cars the kona just felt a poor relation still a good car but attention to detail lacking geared differently too no matter what they say in the garages or press 7 year warranty vs 5 is icing on the cake
2023-09-14,-GYjfh1gpkM,still cant decide if i like the look of the car could be like the mg4 didnt look great on screen but is very nice in reality
2023-09-18,-GYjfh1gpkM,its definitely got the robocop visor look perhaps the going to be an ad campaign one way or another youre coming with me but how far depends on your driving style ambient temp and whether youre using the hvac
2023-09-14,-GYjfh1gpkM,why dont you move the steering wheel so you can see the speedo
2023-09-14,-GYjfh1gpkM,looks like the new e2008 is the winner here
2023-09-14,-GYjfh1gpkM,said noone but you 
2023-09-14,-GYjfh1gpkM,that center console and that center dash feels cheap just by looking at it
2023-09-14,-GYjfh1gpkM,i have a 2020 kona and this looks like a great upgrade  hyundai have been listening to their customers
2023-09-14,-GYjfh1gpkM,its nearly perfect me thinks waiting to get my order in when released in australia
2023-09-14,-GYjfh1gpkM,i have the 2021 model and i love it my first electric car  this summer i was averaging 65 miles per klw even in eco mode its fast love it
2023-09-14,-GYjfh1gpkM,i really dislike this trend that manufacturers are using to describe faux leather  vegan leather eco leather etc  in most cases its plastic so lets call it what it is and not make out that its a green alternative in any form
2023-09-16,-GYjfh1gpkM,i also find it puzzling that vegan leather is described as sustainable isnt leather sustainable and biodegradable
2023-09-16,-GYjfh1gpkM,charlesbridgford254its made of recycled greens the kind of leftovers that used to go on the compost heap
2023-09-18,-GYjfh1gpkM,"charlesbridgford254 leather comes from cattle cattle are not ecofriendly raising cattle pollutes water ways and their methane emissions are contradictory to owning an ev 

faux leather can also be much softer and easier to clean than real leather

i own a car with real leather and i hate the leather seats too firm for driving for hours a day for my job faux leather can be made just as firm or softer than real leather because its a mix of vinyl and other recycled rubber materials its not just a sustainability thing its also a comfort thing

my friend has an ioniq 5 limited and his seats arent real leather either but they feel a helluva lot better than my real leather ones do"
2023-09-18,-GYjfh1gpkM,ncxdesigns cattle are not eco friendly far more eco friendly than plastic
2023-09-21,-GYjfh1gpkM,"but theyre not they use recycled materials so they are eco friendly 

hyundai doesnt list it as vegan or biodegrable just eco friendly the journalist words not theres"
2023-10-03,-GYjfh1gpkM,its cheaper than leather so vegan is how theyre trying to sell the idea to consumers without admitting its purely a cost decision
2023-10-12,-GYjfh1gpkM,drewzerniit also lasts longer and does not need as much maintenance it also feels better in every way its better then leather
2023-11-20,-GYjfh1gpkM,ncxdesignsyou missed the part that leather is biodegradable and natural and a by product of feeding billions of people  until you change billions of humans nutritional habits leather is an absolute superior product hands down
2023-11-24,-GYjfh1gpkM,"yes leather biodegrades in landfill takes about 50 years or so

plastic based leather obviously is 500 years 

funnily enough the co2 footprint is about the same if cattle is being raised as food and the leather is a by product it can be viewed somewhat differently i guess

but cattle are horrendous for the planet they use exponentially more water than humans or crops per acre plus all the co2 and methane they produce

neither are particularly great but had to say real leather if you look after it can last a very very long time most dont realise it needs moisturising and feeding etc to keep to going if you do that it can last so long you wont care

must say having had both you cant beat real leather it just feels nicer as a meat eater i dont think im in a position to lecture one way or the other tbh

until the destruction of vegan leather doesnt release micro plastics they shouldnt be used imho tho"
2023-12-07,-GYjfh1gpkM,pretty sure cows are more eco friendly than humans
2023-12-14,-GYjfh1gpkM,in america we have a faux politician we call it aoc
